mode,final_label,score_bin,count,median_D_min_ratio,median_P_4,median_P_8,median_P_16,median_kappa_max,median_Q_ratio
exact_derived_return,success_score0,0-4,20,,0.0,0.0,0.03228228228228228,0.0,
exact_derived_return,success_score0,17-32,13,0.0,0.05405405405405406,0.08633633633633633,0.22897897897897898,2.0,12.856481481481481
exact_derived_return,success_score0,33-64,27,0.375,0.15315315315315314,0.21021021021021022,0.33708708708708707,2.2857142857142856,6.406828703703703
exact_derived_return,success_score0,65-128,31,0.45,0.265015015015015,0.31456456456456455,0.4316816816816817,3.0,3.6825396825396823
exact_derived_return,success_score0,9-16,1,0.0,0.024024024024024024,0.052552552552552555,0.17942942942942944,2.0,19.34548611111111
exact_derived_return,success_score0,>128,8,0.49359756097560975,0.37462462462462465,0.42680180180180183,0.5221471471471472,3.775,2.1326963241436925
mixed_diversity,escapable_final,17-32,431,0.6,0.0518018018018018,0.0960960960960961,0.234984984984985,1.5,12.809027777777779
mixed_diversity,escapable_final,33-64,34,0.5505050505050505,0.09759759759759759,0.1493993993993994,0.29316816816816815,1.7916666666666665,8.539351851851851
mixed_diversity,escapable_final,5-8,7,1.5,0.0045045045045045045,0.01876876876876877,0.12012012012012012,0.75,38.329861111111114
mixed_diversity,escapable_final,65-128,1,0.45161290322580644,0.3566066066066066,0.4091591591591592,0.5,3.5,2.4849910394265233
mixed_diversity,escapable_final,9-16,98,0.75,0.01876876876876877,0.049924924924924924,0.17642642642642642,1.25,19.29340277777778
mixed_diversity,escapable_final,>128,18,0.5469802555168409,0.4947447447447447,0.5330330330330331,0.6062312312312312,5.25,1.4046211956914625
mixed_diversity,unknown_final,17-32,20,0.6125,0.06681681681681682,0.10885885885885885,0.243993993993994,1.6666666666666667,11.04861111111111
mixed_diversity,unknown_final,33-64,4,0.5555555555555556,0.10548048048048048,0.15990990990990991,0.29316816816816815,1.8166666666666667,8.509645061728396
mixed_diversity,unknown_final,5-8,1,1.5,0.0022522522522522522,0.013513513513513514,0.10585585585585586,0.75,38.260416666666664
mixed_diversity,unknown_final,9-16,5,1.0,0.016516516516516516,0.04054054054054054,0.15465465465465467,1.0,25.541666666666668
mixed_diversity,unknown_final,>128,1,0.574468085106383,0.45345345345345345,0.4954954954954955,0.5788288288288288,3.5,1.6477541371158393
score_only,escapable_final,17-32,6,0.6,0.04504504504504504,0.08445945945945946,0.22184684684684686,1.5833333333333335,15.395138888888889
score_only,escapable_final,5-8,12,1.5,0.0022522522522522522,0.01951951951951952,0.11861861861861862,0.75,38.46875
score_only,escapable_final,65-128,1,0.43333333333333335,0.31456456456456455,0.37537537537537535,0.484984984984985,3.5,2.633564814814815
score_only,escapable_final,9-16,102,1.0,0.013513513513513514,0.03303303303303303,0.15315315315315314,1.0,25.74074074074074
score_only,escapable_final,>128,3,0.6052631578947368,0.5735735735735735,0.6036036036036037,0.668918918918919,6.0,1.0364583333333333
score_only,false_basin_final,0-4,6,2.0,0.0007507507507507507,0.010510510510510511,0.07732732732732733,0.6666666666666666,77.375
score_only,false_basin_final,17-32,2,0.6,0.026276276276276274,0.06231231231231231,0.19632132132132132,1.5333333333333332,15.555555555555555
score_only,false_basin_final,5-8,32,1.0,0.003003003003003003,0.02177177177177177,0.12162162162162163,1.0,38.96180555555556
score_only,false_basin_final,9-16,80,1.0,0.015015015015015015,0.038288288288288286,0.16516516516516516,1.0,25.60648148148148
score_only,false_basin_final,>128,4,0.6084415584415584,0.5487987987987988,0.5852102102102102,0.6516516516516517,6.333333333333334,1.1577445372088229
score_only,unknown_final,0-4,2,2.0,0.0015015015015015015,0.010510510510510511,0.08858858858858859,0.5,77.68055555555556
score_only,unknown_final,17-32,7,0.6,0.03753753753753754,0.07357357357357357,0.21096096096096095,1.6,15.286111111111111
score_only,unknown_final,5-8,41,1.5,0.0037537537537537537,0.01951951951951952,0.12237237237237238,0.75,38.75347222222222
score_only,unknown_final,9-16,310,1.0,0.012762762762762763,0.038288288288288286,0.15990990990990991,1.0,25.599537037037038
score_only,unknown_final,>128,12,0.539072039072039,0.5322822822822824,0.5604354354354355,0.6208708708708709,5.416666666666666,1.0014504219409284
threshold_accepting,escapable_final,0-4,5,2.0,0.0007507507507507507,0.00975975975975976,0.08408408408408409,0.6666666666666666,77.125
threshold_accepting,escapable_final,17-32,423,0.6,0.06006006006006006,0.10585585585585586,0.24474474474474475,1.6,11.087301587301587
threshold_accepting,escapable_final,33-64,107,0.5555555555555556,0.10510510510510511,0.1569069069069069,0.2972972972972973,2.0,8.497685185185185
threshold_accepting,escapable_final,5-8,4,1.5,0.0037537537537537537,0.017642642642642644,0.11561561561561562,0.8,38.52604166666667
threshold_accepting,escapable_final,9-16,39,0.75,0.01876876876876877,0.04954954954954955,0.17717717717717718,1.25,19.296875
threshold_accepting,escapable_final,>128,11,0.5692307692307692,0.5638138138138138,0.5893393393393394,0.6516516516516516,6.0,1.0590277777777777
threshold_accepting,unknown_final,0-4,1,2.0,0.0015015015015015015,0.00975975975975976,0.08258258258258258,0.8,77.09722222222223
threshold_accepting,unknown_final,17-32,19,0.5714285714285714,0.06381381381381382,0.11186186186186187,0.246996996996997,1.6,10.990079365079366
threshold_accepting,unknown_final,33-64,6,0.4722222222222222,0.09496996996996997,0.15653153153153154,0.3108108108108108,1.875,8.10270061728395
threshold_accepting,unknown_final,9-16,5,1.0,0.015765765765765764,0.04129129129129129,0.16066066066066065,1.0,25.712962962962962
